loss,model,split,shapiro_p_genuine,shapiro_p_impostor,genuine_normal_a5pct,impostor_normal_a5pct
bce,efficientnet_b0,iam_to_iam,1.7465880209122356e-41,3.7189773596953493e-34,False,False
bce,efficientnet_b0,iam_to_rimes,3.545368640077605e-89,1.906384883623935e-87,False,False
bce,efficientnet_b0,rimes_to_iam,2.3984068669964698e-63,5.193560209722645e-60,False,False
bce,efficientnet_b0,rimes_to_rimes,2.192377293286522e-47,5.007324424774853e-25,False,False
bce,efficientnet_b1,iam_to_iam,1.1609598995202913e-29,2.846219218048358e-35,False,False
bce,efficientnet_b1,iam_to_rimes,3.13816101046736e-51,1.3275033682324937e-46,False,False
bce,efficientnet_b1,rimes_to_iam,5.014008210101044e-44,1.1823998547640894e-40,False,False
bce,efficientnet_b1,rimes_to_rimes,4.185589822251587e-23,3.89770120098688e-21,False,False
bce,mobilenet_v3_large,iam_to_iam,3.3527086436468755e-24,3.1985335096642907e-31,False,False
bce,mobilenet_v3_large,iam_to_rimes,5.110939567662579e-94,6.305998736972078e-95,False,False
bce,mobilenet_v3_large,rimes_to_iam,1.5169870982635177e-55,6.841024766037735e-70,False,False
bce,mobilenet_v3_large,rimes_to_rimes,6.42104968470753e-47,5.21705099619484e-39,False,False
bce,mobilenet_v3_small,iam_to_iam,3.756567054278042e-36,1.2345123934353918e-39,False,False
bce,mobilenet_v3_small,iam_to_rimes,3.547762268713387e-56,5.254300688521186e-57,False,False
bce,mobilenet_v3_small,rimes_to_iam,5.7978813589949224e-21,3.0806831569992905e-10,False,False
bce,mobilenet_v3_small,rimes_to_rimes,1.321562070961861e-43,3.4796613747028017e-40,False,False
bce,resnet18,iam_to_iam,1.216614565539209e-43,7.529821914493791e-34,False,False
bce,resnet18,iam_to_rimes,2.8404197950818873e-73,4.657688055264242e-68,False,False
bce,resnet18,rimes_to_iam,1.4770021533289557e-38,1.4743926217658593e-56,False,False
bce,resnet18,rimes_to_rimes,3.0683619764969283e-49,2.1159860669901528e-38,False,False
bce,resnet34,iam_to_iam,5.859267296620304e-41,2.131566955706159e-22,False,False
bce,resnet34,iam_to_rimes,1.8869011417882355e-54,1.997966954414415e-49,False,False
bce,resnet34,rimes_to_iam,2.122541119962275e-80,2.7317725582179774e-71,False,False
bce,resnet34,rimes_to_rimes,7.918176944638787e-46,6.653133956502542e-33,False,False
contrastive,efficientnet_b0,iam_to_iam,1.8302790287408457e-29,3.27756851290789e-11,False,False
contrastive,efficientnet_b0,iam_to_rimes,1.0917645678937298e-65,2.243647244674267e-50,False,False
contrastive,efficientnet_b0,rimes_to_iam,8.100210414716594e-71,5.591698336695649e-41,False,False
contrastive,efficientnet_b0,rimes_to_rimes,2.405426067279279e-45,2.1235558464820952e-17,False,False
contrastive,efficientnet_b1,iam_to_iam,6.260186734548472e-31,8.615651703220754e-10,False,False
contrastive,efficientnet_b1,iam_to_rimes,5.450481972087395e-64,8.539089622130721e-55,False,False
contrastive,efficientnet_b1,rimes_to_iam,4.2506107830271923e-64,1.3200422269224017e-49,False,False
contrastive,efficientnet_b1,rimes_to_rimes,7.384461702546898e-45,1.5415882278473323e-14,False,False
