loss,split,far_target,n_backbones_valid,frr_mean,frr_std,gar_mean,gar_std
BCE,iam_to_iam,1%,6,0.7470424495476687,0.30286056969849084,0.25295755045233126,0.30286056969849084
BCE,iam_to_iam,0.1%,6,0.9237995824634656,0.11846380520956609,0.07620041753653445,0.11846380520956608
BCE,iam_to_iam,0.01%,0,,,,
BCE,rimes_to_rimes,1%,6,0.9349487011569525,0.0695253961683567,0.06505129884304736,0.06952539616835669
BCE,rimes_to_rimes,0.1%,6,0.9835188823401003,0.025747373427201722,0.016481117659899586,0.025747373427201733
BCE,rimes_to_rimes,0.01%,0,,,,
CONTRASTIVE,iam_to_iam,1%,6,0.18928322894919977,0.05184295207289959,0.8107167710508003,0.05184295207289958
CONTRASTIVE,iam_to_iam,0.1%,6,0.34933890048712596,0.09680786623995567,0.650661099512874,0.09680786623995567
CONTRASTIVE,iam_to_iam,0.01%,0,,,,
CONTRASTIVE,rimes_to_rimes,1%,6,0.4950884086444008,0.036024289559856086,0.5049115913555992,0.036024289559856086
CONTRASTIVE,rimes_to_rimes,0.1%,6,0.8152150185549006,0.09549329789671597,0.18478498144509933,0.09549329789671598
CONTRASTIVE,rimes_to_rimes,0.01%,0,,,,
TRIPLET,iam_to_iam,1%,6,0.6750173973556018,0.051994057235579975,0.3249826026443981,0.051994057235579975
TRIPLET,iam_to_iam,0.1%,6,0.8117606123869172,0.04460839391132247,0.1882393876130828,0.044608393911322486
TRIPLET,iam_to_iam,0.01%,0,,,,
TRIPLET,rimes_to_rimes,1%,6,0.8072473259113732,0.07625069891558525,0.19275267408862692,0.07625069891558527
TRIPLET,rimes_to_rimes,0.1%,6,0.9300371098013533,0.023526167503814758,0.06996289019864659,0.023526167503814772
TRIPLET,rimes_to_rimes,0.01%,0,,,,
BCE,iam_to_rimes,1%,6,0.9807383211489604,0.02258019342382808,0.019261678851039563,0.02258019342382808
BCE,iam_to_rimes,0.1%,6,0.9958262041789806,0.005266914036078522,0.004173795821019339,0.005266914036078529
BCE,iam_to_rimes,0.01%,0,,,,
BCE,rimes_to_iam,1%,6,0.9598942074228235,0.05471511638537336,0.04010579257717655,0.05471511638537336
BCE,rimes_to_iam,0.1%,6,0.9895508151231356,0.015311439061443551,0.010449184876864378,0.015311439061443532
BCE,rimes_to_iam,0.01%,0,,,,
CONTRASTIVE,iam_to_rimes,1%,6,0.8664644579250272,0.03251627373993162,0.13353554207497279,0.032516273739931614
CONTRASTIVE,iam_to_rimes,0.1%,6,0.9728832892621972,0.011820069616408206,0.02711671073780267,0.011820069616408208
CONTRASTIVE,iam_to_rimes,0.01%,0,,,,
CONTRASTIVE,rimes_to_iam,1%,6,0.6029309746791536,0.13467354416526175,0.39706902532084626,0.13467354416526178
CONTRASTIVE,rimes_to_iam,0.1%,6,0.8811134235171697,0.040078986269786065,0.11888657648283037,0.04007898626978606
CONTRASTIVE,rimes_to_iam,0.01%,0,,,,
TRIPLET,iam_to_rimes,1%,6,0.9292528646238399,0.019813896653402132,0.0707471353761601,0.019813896653402125
TRIPLET,iam_to_rimes,0.1%,6,0.9881007932804481,0.006236372747466001,0.011899206719552032,0.006236372747466
TRIPLET,iam_to_rimes,0.01%,0,,,,
TRIPLET,rimes_to_iam,1%,6,0.7744970516822755,0.10976032077213754,0.22550294831772463,0.10976032077213753
TRIPLET,rimes_to_iam,0.1%,6,0.9244710371141173,0.04749797578629242,0.07552896288588275,0.04749797578629242
TRIPLET,rimes_to_iam,0.01%,0,,,,
