loss,backbone,split,auc,eer,d_prime
bce,efficientnet_b0,iam_to_iam,0.9416823583672308,0.08845437616387336,3.008534855183241
bce,efficientnet_b0,iam_to_rimes,0.5151724847940365,0.4845993031358885,0.04537419009498334
bce,efficientnet_b0,rimes_to_iam,0.550712585114951,0.45396198469513704,0.09227001885188987
bce,efficientnet_b0,rimes_to_rimes,0.8471905429669815,0.2229916897506925,1.4442467055821298
bce,efficientnet_b1,iam_to_iam,0.9779241180570727,0.07355679702048416,3.331021735144545
bce,efficientnet_b1,iam_to_rimes,0.6517481965302481,0.38933797909407664,0.5102780891398762
bce,efficientnet_b1,rimes_to_iam,0.5585592812840919,0.459886447790669,0.14203693198374456
bce,efficientnet_b1,rimes_to_rimes,0.5055269776168078,0.5041551246537397,0.02774043150179695
bce,mobilenet_v3_large,iam_to_iam,0.9498229698754027,0.11173184357541899,2.612416033874634
bce,mobilenet_v3_large,iam_to_rimes,0.5047606162512597,0.49526132404181183,0.09029160313930025
bce,mobilenet_v3_large,rimes_to_iam,0.6753523530308245,0.38101703283139965,0.5105916150480154
bce,mobilenet_v3_large,rimes_to_rimes,0.9050505578533008,0.1471606648199446,2.082774025684641
bce,mobilenet_v3_small,iam_to_iam,0.9877483363329622,0.0493482309124767,4.266852491921852
bce,mobilenet_v3_small,iam_to_rimes,0.5457164710024403,0.472404181184669,0.15265177013075953
bce,mobilenet_v3_small,rimes_to_iam,0.6098919533781852,0.40483831152801775,0.36957909129915867
bce,mobilenet_v3_small,rimes_to_rimes,0.9211744461752136,0.13711911357340723,2.3137732065124634
bce,resnet18,iam_to_iam,0.9491831646258786,0.06331471135940411,3.4521415530831145
bce,resnet18,iam_to_rimes,0.6352572448372568,0.4034146341463415,0.2845325987866628
bce,resnet18,rimes_to_iam,0.6647320229161625,0.365341890891138,0.6558746147840695
bce,resnet18,rimes_to_rimes,0.9012735859915133,0.15373961218836563,1.9910362328191864
bce,resnet34,iam_to_iam,0.9715503400157437,0.06517690875232773,3.7449244298417774
bce,resnet34,iam_to_rimes,0.5547620585414414,0.4625087108013938,0.18022608315048966
bce,resnet34,rimes_to_iam,0.6250212286557939,0.39977783263391753,0.52259766622977
bce,resnet34,rimes_to_rimes,0.7764001964380262,0.29536011080332414,0.9852990087232778
contrastive,efficientnet_b0,iam_to_iam,0.9623433864250318,0.1042830540037244,2.777359379332521
contrastive,efficientnet_b0,iam_to_rimes,0.7100225084679918,0.3439721254355401,0.6434726097841786
contrastive,efficientnet_b0,rimes_to_iam,0.8654647687796443,0.20315971365095042,1.2773771704643897
contrastive,efficientnet_b0,rimes_to_rimes,0.9008692958157166,0.16204986149584488,1.808753617818367
contrastive,efficientnet_b1,iam_to_iam,0.9740159309773242,0.07541899441340781,2.8971743798359113
contrastive,efficientnet_b1,iam_to_rimes,0.682561080017968,0.3672473867595819,0.5565727534126907
contrastive,efficientnet_b1,rimes_to_iam,0.8234916868675315,0.26339175512219204,1.079741376788223
contrastive,efficientnet_b1,rimes_to_rimes,0.905166857221783,0.16447368421052633,1.8551978827264943
contrastive,mobilenet_v3_large,iam_to_iam,0.9724588981478592,0.08938547486033521,2.872382534999856
contrastive,mobilenet_v3_large,iam_to_rimes,0.6430710582864914,0.3949825783972125,0.34748449750994415
contrastive,mobilenet_v3_large,rimes_to_iam,0.7301500718955997,0.3488027647494446,0.4208941200778195
contrastive,mobilenet_v3_large,rimes_to_rimes,0.9121256359297427,0.14404432132963987,1.8688443091323295
contrastive,mobilenet_v3_small,iam_to_iam,0.9800290599891113,0.07262569832402235,2.7766880814702795
contrastive,mobilenet_v3_small,iam_to_rimes,0.6595640398693684,0.38229965156794427,0.49978569953458835
contrastive,mobilenet_v3_small,rimes_to_iam,0.7769669130338371,0.29758084423599107,0.8315753210668838
contrastive,mobilenet_v3_small,rimes_to_rimes,0.9041213618680028,0.15962603878116344,1.8356229734528549
contrastive,resnet18,iam_to_iam,0.9619272529294063,0.10614525139664807,2.3740593594069024
contrastive,resnet18,iam_to_rimes,0.6938358848595951,0.3586759581881533,0.6199535699393683
contrastive,resnet18,rimes_to_iam,0.9299643261084711,0.1436682300666502,1.8008320498162758
contrastive,resnet18,rimes_to_rimes,0.9116556426055662,0.14369806094182827,1.910597394034405
contrastive,resnet34,iam_to_iam,0.9648956718648676,0.09590316573556795,2.3092620844083527
contrastive,resnet34,iam_to_rimes,0.6127346550279839,0.42160278745644597,0.25397255927339046
contrastive,resnet34,rimes_to_iam,0.7760110674801003,0.29782769686497157,0.9700169467331469
contrastive,resnet34,rimes_to_rimes,0.9029622048633759,0.15997229916897504,1.8446909504276605
triplet,efficientnet_b0,iam_to_iam,0.8096119901931207,0.25698324022346364,1.050912542997977
triplet,efficientnet_b0,iam_to_rimes,0.6350683970911386,0.4129616724738676,0.4637817440784162
triplet,efficientnet_b0,rimes_to_iam,0.7243404735755868,0.3453468279437176,0.6614404700438601
triplet,efficientnet_b0,rimes_to_rimes,0.7630576614666861,0.304016620498615,0.9676215109972661
triplet,efficientnet_b1,iam_to_iam,0.7793590850611544,0.2951582867783985,0.723057644292898
triplet,efficientnet_b1,iam_to_rimes,0.567035705180347,0.4539372822299652,0.23935983066638908
triplet,efficientnet_b1,rimes_to_iam,0.8348792954017954,0.23204147124166874,0.9745999165964739
triplet,efficientnet_b1,rimes_to_rimes,0.7495551848896187,0.31163434903047094,0.6009144106232608
triplet,mobilenet_v3_large,iam_to_iam,0.8267289479798451,0.25884543761638734,1.0727334573649565
triplet,mobilenet_v3_large,iam_to_rimes,0.5708977212300744,0.449616724738676,0.04501745707044025
triplet,mobilenet_v3_large,rimes_to_iam,0.7143000125345805,0.34263144902493214,0.613593787718741
triplet,mobilenet_v3_large,rimes_to_rimes,0.6900269334949855,0.3421052631578947,0.27935562258014707
triplet,mobilenet_v3_small,iam_to_iam,0.7538258273254062,0.33147113594040967,0.9072060075934927
triplet,mobilenet_v3_small,iam_to_rimes,0.5781537520183564,0.4434146341463414,0.2473108061547328
triplet,mobilenet_v3_small,rimes_to_iam,0.7271938120974364,0.34361885954085414,0.7040553531183924
triplet,mobilenet_v3_small,rimes_to_rimes,0.6226015952916261,0.42693905817174516,0.3649191862289116
triplet,resnet18,iam_to_iam,0.857675408937854,0.24115456238361266,1.1828111806218478
triplet,resnet18,iam_to_rimes,0.62640221442533,0.415191637630662,0.4673644074900307
triplet,resnet18,rimes_to_iam,0.708943078928066,0.35719575413478155,0.40174192812433424
triplet,resnet18,rimes_to_rimes,0.6180014157349928,0.42070637119113574,0.3951167507724444
triplet,resnet34,iam_to_iam,0.7544638986853649,0.3109869646182495,0.3706234268487842
triplet,resnet34,iam_to_rimes,0.6484152435989268,0.4009756097560976,0.5407509837727907
triplet,resnet34,rimes_to_iam,0.7973220785759156,0.2763515181436682,1.0342805463645885
triplet,resnet34,rimes_to_rimes,0.6039121668802419,0.43178670360110805,0.33116587843955875
