loss,model,split,n_genuine,n_impostor,n_total
bce,efficientnet_b0,iam_to_iam,537,537,1074
bce,efficientnet_b0,iam_to_rimes,7175,7175,14350
bce,efficientnet_b0,rimes_to_iam,4051,4051,8102
bce,efficientnet_b0,rimes_to_rimes,1444,1444,2888
bce,efficientnet_b1,iam_to_iam,537,537,1074
bce,efficientnet_b1,iam_to_rimes,7175,7175,14350
bce,efficientnet_b1,rimes_to_iam,4051,4051,8102
bce,efficientnet_b1,rimes_to_rimes,1444,1444,2888
bce,mobilenet_v3_large,iam_to_iam,537,537,1074
bce,mobilenet_v3_large,iam_to_rimes,7175,7175,14350
bce,mobilenet_v3_large,rimes_to_iam,4051,4051,8102
bce,mobilenet_v3_large,rimes_to_rimes,1444,1444,2888
bce,mobilenet_v3_small,iam_to_iam,537,537,1074
bce,mobilenet_v3_small,iam_to_rimes,7175,7175,14350
bce,mobilenet_v3_small,rimes_to_iam,4051,4051,8102
bce,mobilenet_v3_small,rimes_to_rimes,1444,1444,2888
bce,resnet18,iam_to_iam,537,537,1074
bce,resnet18,iam_to_rimes,7175,7175,14350
bce,resnet18,rimes_to_iam,4051,4051,8102
bce,resnet18,rimes_to_rimes,1444,1444,2888
bce,resnet34,iam_to_iam,537,537,1074
bce,resnet34,iam_to_rimes,7175,7175,14350
bce,resnet34,rimes_to_iam,4051,4051,8102
bce,resnet34,rimes_to_rimes,1444,1444,2888
contrastive,efficientnet_b0,iam_to_iam,537,537,1074
contrastive,efficientnet_b0,iam_to_rimes,7175,7175,14350
contrastive,efficientnet_b0,rimes_to_iam,4051,4051,8102
contrastive,efficientnet_b0,rimes_to_rimes,1444,1444,2888
contrastive,efficientnet_b1,iam_to_iam,537,537,1074
contrastive,efficientnet_b1,iam_to_rimes,7175,7175,14350
contrastive,efficientnet_b1,rimes_to_iam,4051,4051,8102
contrastive,efficientnet_b1,rimes_to_rimes,1444,1444,2888
contrastive,mobilenet_v3_large,iam_to_iam,537,537,1074
contrastive,mobilenet_v3_large,iam_to_rimes,7175,7175,14350
contrastive,mobilenet_v3_large,rimes_to_iam,4051,4051,8102
contrastive,mobilenet_v3_large,rimes_to_rimes,1444,1444,2888
contrastive,mobilenet_v3_small,iam_to_iam,537,537,1074
contrastive,mobilenet_v3_small,iam_to_rimes,7175,7175,14350
contrastive,mobilenet_v3_small,rimes_to_iam,4051,4051,8102
contrastive,mobilenet_v3_small,rimes_to_rimes,1444,1444,2888
contrastive,resnet18,iam_to_iam,537,537,1074
contrastive,resnet18,iam_to_rimes,7175,7175,14350
contrastive,resnet18,rimes_to_iam,4051,4051,8102
contrastive,resnet18,rimes_to_rimes,1444,1444,2888
contrastive,resnet34,iam_to_iam,537,537,1074
contrastive,resnet34,iam_to_rimes,7175,7175,14350
contrastive,resnet34,rimes_to_iam,4051,4051,8102
contrastive,resnet34,rimes_to_rimes,1444,1444,2888
triplet,efficientnet_b0,iam_to_iam,537,537,1074
triplet,efficientnet_b0,iam_to_rimes,7175,7175,14350
triplet,efficientnet_b0,rimes_to_iam,4051,4051,8102
triplet,efficientnet_b0,rimes_to_rimes,1444,1444,2888
triplet,efficientnet_b1,iam_to_iam,537,537,1074
triplet,efficientnet_b1,iam_to_rimes,7175,7175,14350
triplet,efficientnet_b1,rimes_to_iam,4051,4051,8102
triplet,efficientnet_b1,rimes_to_rimes,1444,1444,2888
triplet,mobilenet_v3_large,iam_to_iam,537,537,1074
triplet,mobilenet_v3_large,iam_to_rimes,7175,7175,14350
triplet,mobilenet_v3_large,rimes_to_iam,4051,4051,8102
triplet,mobilenet_v3_large,rimes_to_rimes,1444,1444,2888
triplet,mobilenet_v3_small,iam_to_iam,537,537,1074
triplet,mobilenet_v3_small,iam_to_rimes,7175,7175,14350
triplet,mobilenet_v3_small,rimes_to_iam,4051,4051,8102
triplet,mobilenet_v3_small,rimes_to_rimes,1444,1444,2888
triplet,resnet18,iam_to_iam,537,537,1074
triplet,resnet18,iam_to_rimes,7175,7175,14350
triplet,resnet18,rimes_to_iam,4051,4051,8102
triplet,resnet18,rimes_to_rimes,1444,1444,2888
triplet,resnet34,iam_to_iam,537,537,1074
triplet,resnet34,iam_to_rimes,7175,7175,14350
triplet,resnet34,rimes_to_iam,4051,4051,8102
triplet,resnet34,rimes_to_rimes,1444,1444,2888
